         289138062 function calls (289131433 primitive calls) in 1618.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1111.520 1111.520 1262.704 1262.704 linalg.py:110(point_descent)
        2  180.066   90.033 1618.531  809.265 main.py:1(<module>)
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3617(streamline)
      327    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
    41/39    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.005    0.005 mlab.py:155(<module>)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      276    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      385    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.019    0.019 core.py:182(read_style_directory)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
      263    0.000    0.000    0.000    0.000 pyparsing.py:474(__new__)
      475    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       10    0.000    0.000    0.004    0.000 pyparsing.py:2860(__init__)
    58/10    0.000    0.000    0.004    0.000 pyparsing.py:3586(leaveWhitespace)
       19    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
       83    0.000    0.000    0.000    0.000 sre_parse.py:843(_parse_flags)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
      419    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        8    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      169    0.000    0.000    0.003    0.000 docstring.py:90(dedent)
      349    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
     1398    0.000    0.000    0.000    0.000 inspect.py:2523(annotation)
        8    0.000    0.000    0.000    0.000 __init__.py:1896(_define_aliases)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
      883    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 pyparsing.py:2602(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.019    0.019 multiarray.py:7(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      122    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      227    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       98    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      648    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      385    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
       39    0.000    0.000    0.001    0.000 __init__.py:1563(_add_data_doc)
        1    0.000    0.000    0.090    0.090 __init__.py:101(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
       27    0.000    0.000    0.008    0.000 pyparsing.py:2998(__init__)
      100    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       60    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.generic' objects}
      321    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
       19    0.000    0.000    0.000    0.000 path.py:193(_update_values)
      126    0.000    0.000    0.000    0.000 colors.py:639(__init__)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      170    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       66    0.000    0.000    0.001    0.000 pyparsing.py:1991(__add__)
        1    0.000    0.000    0.033    0.033 text.py:3(<module>)
       54    0.000    0.000    0.000    0.000 pyparsing.py:3056(__str__)
        1    0.000    0.000    0.015    0.015 cm.py:19(<module>)
   121/59    0.000    0.000    0.003    0.000 pyparsing.py:3663(<listcomp>)
      170    0.000    0.000    0.000    0.000 rcsetup.py:59(__call__)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       52    0.000    0.000    0.000    0.000 enum.py:452(_find_data_type)
       28    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
      681    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      362    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        2    0.000    0.000    0.031    0.016 __init__.py:7(<module>)
      307    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       77    0.000    0.000    0.000    0.000 __init__.py:870(__getitem__)
      558    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 __init__.py:1120(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       83    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       24    0.000    0.000    0.002    0.000 pyparsing.py:1170(_trim_arity)
       60    0.000    0.000    0.000    0.000 rcsetup.py:72(<listcomp>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:875(copy)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.007    0.007 py3k.py:4(<module>)
      497    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
